"FriendlyName (System.String, required)",Namespace (System.String),ZipName (System.String),Url (System.String),SupportedInGlue (bool)
Windows Desktop,FlatRedBallXna4Template,FlatRedBallXna4Template.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBallXna4Template.zip,TRUE
Windows Desktop GL (Windows),FlatRedBallDesktopGlTemplate,FlatRedBallDesktopGL.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBallDesktopGlTemplate.zip,TRUE
Windows Desktop GL (Linux),FlatRedBallDesktopGlTemplate,FlatRedBallDesktopGLLinux.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBallDesktopGlLinuxTemplate.zip,TRUE
Android,FlatRedBallAndroidTemplate,FlatRedBallAndroidTemplate.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBallAndroidTemplate.zip,TRUE
"iOS (iPhone, iPad, iPod Touch)",FlatRedBalliOSTemplate,FlatRedBalliOSTemplate.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBalliOSTemplate.zip,TRUE
Windows RT,Windows8Template,Windows8Template.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/Windows8Template.zip,TRUE
Winows UWP,FlatRedBallUwpTemplate,FlatRedBallUwpTemplate.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/FlatRedBallUwpTemplate.zip,TRUE
Glue Plugin Template,GluePluginTemplate,GluePluginTemplate.zip,http://files.flatredball.com/content/FrbXnaTemplates/DailyBuild/ZippedTemplates/GluePluginTemplate.zip,FALSE
